listing_url,listing_type,scraped_at,price
https://www.sahibinden.com/ilan/emlak-konut-satilik-atakoy-nef-22-de-full-esyali-yuksek-kat-1-plus1-satilik-daire-1310242066/detay,satilik,2026-05-26T18:08:29.117357,
https://www.sahibinden.com/ilan/emlak-konut-satilik-nes-yapi-dan-saadetdere-de-kelepir-satilik-genis-daire-1318246007/detay,satilik,2026-05-26T18:08:29.120078,
https://www.sahibinden.com/ilan/emlak-konut-satilik-k.cekmece-kanarya-mah-6-10-yas-2-plus1-70m2-balkonlu-satildi-1310324461/detay,satilik,2026-05-26T18:08:29.122603,
https://www.sahibinden.com/ilan/emlak-konut-satilik-bahcesehir-2.kisimda-oncu-grup-tan-satilik-2-plus1-daire-1318420599/detay,satilik,2026-05-26T18:08:29.124433,
https://www.sahibinden.com/ilan/emlak-konut-satilik-referans-gayrimenkul-findikli-mahallesinde-2-plus1-satilik-daire-1318866090/detay,satilik,2026-05-26T18:08:29.126607,
https://www.sahibinden.com/ilan/emlak-konut-satilik-tam-donanimli-site-ici-ebeveyn-banyolu-3-plus1-metrobuse-10dk-mesafe-1295583182/detay,satilik,2026-05-26T18:08:29.128616,
https://www.sahibinden.com/ilan/emlak-konut-satilik-guvenlikli-site-de-metrobuse-yakin-luks-dekor-3-plus1-130-m2-daire-1318424299/detay,satilik,2026-05-26T18:08:29.130290,
https://www.sahibinden.com/ilan/emlak-konut-satilik-cok-uygun-ferah-21-sb2f-bahce-kati-lux-var-846763395/detay,satilik,2026-05-26T18:08:29.132117,
https://www.sahibinden.com/ilan/emlak-konut-satilik-esenyurt-mevlana-mahallesinde-dekorlu-2-plus1-genis-m2-satilik-daire-1317235104/detay,satilik,2026-05-26T18:08:29.134015,
https://www.sahibinden.com/ilan/emlak-konut-satilik-koroglu-dan-armaganevler-mah-ifm-yakin-site-ici-2-plus1-1310314582/detay,satilik,2026-05-26T18:08:29.137153,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-de-merkezi-konumda-firsat-daire-3-plus2-satilik-dubleks-1311071016/detay,satilik,2026-05-26T18:08:29.139358,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-adnan-kahveci-mah-havuzlu-site-icerisinde-3-plus1-daire-1311264090/detay,satilik,2026-05-26T18:08:29.140840,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-nde-yasam-vadisinin-yakininda-modern-tasarim-3-plus1-1317111776/detay,satilik,2026-05-26T18:08:29.142180,
https://www.sahibinden.com/ilan/emlak-konut-satilik-emlakvar-sancaktepe-metroya-6-dakika-iskanli-2-plus1-3.kat-100m2-1279581847/detay,satilik,2026-05-26T18:08:29.144019,
https://www.sahibinden.com/ilan/emlak-konut-satilik-bayrama-ozel-eminevime-krediye-uygun-2-plus1-500.000-tl-pesinat-ile-1315201694/detay,satilik,2026-05-26T18:08:29.145821,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beyaz-kosk-caddesi-nde-satilik-3-plus1-daire-110m2-yatirima-uygun-1316114801/detay,satilik,2026-05-26T18:08:29.147206,
https://www.sahibinden.com/ilan/emlak-konut-satilik-weststar-gayrimenkul-emir-bicakci-dan-westside-2-plus1-acik-mutfak-1311272664/detay,satilik,2026-05-26T18:08:29.148926,
https://www.sahibinden.com/ilan/emlak-konut-satilik-suryapi-lavender-de-satilik-3-plus1-genis-bahceli-daire-1318848809/detay,satilik,2026-05-26T18:08:29.150677,
https://www.sahibinden.com/ilan/emlak-konut-satilik-his-gayrimenkul-den-idealtepe-sahilde-sifir-bina-ara-kat2-plus1-90m2-1318847296/detay,satilik,2026-05-26T18:08:29.152700,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-oncu-den-90-kredi-imkani-site-ici-2-plus1-satilik-daire-1300060494/detay,satilik,2026-05-26T18:08:29.154721,
https://www.sahibinden.com/ilan/emlak-konut-satilik-maltepe-findikli-da-satilik-2-plus1-daire-90m2-yatirim-firsati-1313225497/detay,satilik,2026-05-26T18:08:29.156212,
https://www.sahibinden.com/ilan/emlak-konut-satilik-somemlaktan-yali-mh-6.kat-3-plus1-satilik-daire-1293553272/detay,satilik,2026-05-26T18:08:29.158169,
https://www.sahibinden.com/ilan/emlak-konut-satilik-ispartakule-bizimevler-2-temiz-peyzaj-manzara-satilik-firsat-2-plus1-1310281175/detay,satilik,2026-05-26T18:08:29.160153,
https://www.sahibinden.com/ilan/emlak-konut-satilik-avcilar-mustafa-kemal-pasada-balkonlu-genism2-2-plus1-satilik-daire-1314618464/detay,satilik,2026-05-26T18:08:29.161561,
https://www.sahibinden.com/ilan/emlak-konut-satilik-aktas-bogazici-evleri-nde-ozel-tasarim-4-plus1-dubleks-daire-1318725430/detay,satilik,2026-05-26T18:08:29.163095,
https://www.sahibinden.com/ilan/emlak-konut-satilik-deniz-manzarali-5-plus2-dubleks-daire-avcilar-denizkoskler-1318823249/detay,satilik,2026-05-26T18:08:29.164890,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beykoz-cubuklu-da-deniz-manzarali-2-plus1-kiraci-sorunu-yoktur-1318817559/detay,satilik,2026-05-26T18:08:29.166731,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-oncu-gruptan-merkezi-konumda-2-plus1-lux-satilik-daire-1300078970/detay,satilik,2026-05-26T18:08:29.168779,
https://www.sahibinden.com/ilan/emlak-konut-satilik-mehmet-akif-te-ana-cadde-uzeri-satilik-2-plus1-dubleks-daire-1203527164/detay,satilik,2026-05-26T18:08:29.171356,
https://www.sahibinden.com/ilan/emlak-konut-satilik-caddebostan-da-deniz-manzarali-bahceli-guvenlikli-180m2-4-plus1-1318820572/detay,satilik,2026-05-26T18:08:29.172964,
https://www.sahibinden.com/ilan/emlak-konut-satilik-sulukule-de-deniz-manzarali-terasli-6-plus2-dubleks-daire-1290157317/detay,satilik,2026-05-26T18:08:29.174443,
https://www.sahibinden.com/ilan/emlak-konut-satilik-full-donanimli-site-ici-on-cephe-acil-satilik-2-plus1-daire-1317830259/detay,satilik,2026-05-26T18:08:29.176244,
https://www.sahibinden.com/ilan/emlak-konut-satilik-acil-satilik-kelepir-2-plus1-kavakli-mah-1317084123/detay,satilik,2026-05-26T18:08:29.177965,
https://www.sahibinden.com/ilan/emlak-konut-satilik-silivri-de-butik-site-ici-sifir-2-plus1-daire-oturum-basladi-1251953093/detay,satilik,2026-05-26T18:08:29.179317,
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-adnan-kahvecide-otoparkli-metrobuse-yurume-3-plus1-1318392252/detay,satilik,2026-05-26T18:08:29.181101,
https://www.sahibinden.com/ilan/emlak-konut-satilik-guvenlikli-plus-havuzlu-site-icinde-metrobuse-10dk-satilik-daire-1314028397/detay,satilik,2026-05-26T18:08:29.183025,
https://www.sahibinden.com/ilan/emlak-konut-satilik-site-ici-2-plus1-metrobuse-10-dk-yuksek-kira-getirili-firsat-daire-1307097758/detay,satilik,2026-05-26T18:08:29.185033,
