listing_url,listing_type,scraped_at,title,district,neighbourhood,address,price,GrossSquareMeters,HallSquareMeters,NumberOfRooms,FloorLocation,HeatingType,KitchenType,Balcony,Elevator,Parking,ItemStatus,UsingStatus,InsideTheSite,TitleStatus,CreditEligibility,Swap,PropertyType,EnergyRating,FromWhom,SiteName,buildingAge,numberFloorsOfBuilding,numberOfBathrooms,numberOfBalconies,rentalIncome,subscription,room_count,adUpdateMonth,adUpdateYear,adActiveDays,price_per_m2
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-sonsuz-yapi-da-havuzlu-full-consept-site-ici-2-plus1-1315356065/detay,satilik,2026-05-27T00:03:16.853753,BEYLİKDÜZÜ SONSUZ YAPI'DA HAVUZLU FULL CONSEPT SİTE İÇİ 2+1,Beylikdüzü,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",5350000,120,105,2+1,3,Kombi (Doğalgaz),Kapalı,Var,Var,Açık & Kapalı Otopark,Hayır,Boş,Evet,Kat Mülkiyetli,Evet,Evet,Satılık Daire,A,Emlak Ofisinden,Belirtilmemiş,0,5,1,,,,2,5,2026,0,44583.333333333336
https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-safa-dan-merkezi-konumda-4-plus2-dubleks-firsati-1317257040/detay,satilik,2026-05-27T00:03:36.824222,BEYLİKDÜZÜ SAFA DAN MERKEZİ KONUMDA 4+2 DUBLEKS FIRSATI,Beylikdüzü,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",5950000,200,180,4+2,3,Kombi (Doğalgaz),Kapalı,Var,Var,Açık Otopark,Hayır,Boş,Evet,Kat Mülkiyetli,Evet,Evet,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,3,4,2,,,,5,5,2026,0,29750.0
https://www.sahibinden.com/ilan/emlak-konut-satilik-guzel-city-deniz-manzarali-2-plus1-huzurlu-yasam-alani-1316688602/detay,satilik,2026-05-27T00:03:55.480925,GÜZEL CİTY DENİZ MANZARALI 2+1 HUZURLU YAŞAM ALANI,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",4220000,105,90,2+1,2,Kombi (Doğalgaz),Açık (Amerikan),Var,Var,Kapalı Otopark,Hayır,Boş,Hayır,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,A,Emlak Ofisinden,Belirtilmemiş,0,4,1,,,,2,5,2026,0,40190.47619047619
https://www.sahibinden.com/ilan/emlak-konut-satilik-aile-sitesinde-full-aktiviteli-balkonlu-satilik-ara-kat-2-plus1daire-1318520766/detay,satilik,2026-05-27T00:04:14.865807,AİLE SİTESİNDE FULL AKTİVİTELİ BALKONLU SATILIK ARA KAT 2+1DAİRE,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",3050000,115,95,2+1,4,Merkezi (Pay Ölçer),Açık (Amerikan),Yok,Var,Açık & Kapalı Otopark,Hayır,Boş,Evet,Kat İrtifaklı,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,8,18,1,,,,2,5,2026,0,26521.739130434784
https://www.sahibinden.com/ilan/emlak-konut-satilik-asya-dan-veliefendi-de-1-plus1-75-m2-yuksek-giris-satilik-daire-1303102000/detay,satilik,2026-05-27T00:04:35.770596,ASYA'DAN VELİEFENDİ'DE 1+1 75 M2 YÜKSEK GİRİŞ SATILIK DAİRE,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",2540000,80,75,1+1,Yüksek Giriş,Yok,Kapalı,Yok,Yok,Yok,Hayır,Boş,Hayır,Hisseli Tapu,Hayır,Evet,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,28,3,1,,,250,1,5,2026,0,31750.0
https://www.sahibinden.com/ilan/emlak-konut-satilik-bostanci-da-3-plus1-deniz-manzara-ebeveyn-bny-118m2-luks-daire-1316258230/detay,satilik,2026-05-27T00:04:53.909281,BOSTANCI'da 3+1 DENİZ MANZARA EBEVEYN BNY 118m2 LÜKS DAİRE,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",20650000,118,95,3+1,10,Yerden Isıtma,Kapalı,Var,Var,Açık & Kapalı Otopark,Hayır,Boş,Hayır,Tapu Kaydı Yok,Hayır,Hayır,Satılık Daire,A,Emlak Ofisinden,Belirtilmemiş,0,11,2,,,,3,5,2026,0,175000.0
https://www.sahibinden.com/ilan/emlak-konut-satilik-kucukyali-villalar-bolgesinde-tek-yetkili-6-yillik-2-plus1luks-daire-1316237320/detay,satilik,2026-05-27T00:05:32.815937,KÜÇÜKYALI VİLLALAR BÖLGESİNDE TEK YETKİLİ 6 YILLIK 2+1LÜKS DAİRE,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",14700000,100,85,2+1,1,Kombi (Doğalgaz),Açık (Amerikan),Var,Var,Açık & Kapalı Otopark,Hayır,Mülk Sahibi,Hayır,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,A,Emlak Ofisinden,Belirtilmemiş,8,3,2,,,1000,2,5,2026,0,147000.0
https://www.sahibinden.com/ilan/emlak-konut-satilik-metrobuse-yakin-krediye-uygun-satilik-2-plus1-daire-1310395511/detay,satilik,2026-05-27T00:05:50.092386,METROBÜSE YAKIN KREDİYE UYGUN SATILIK 2+1 DAİRE,,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",2770000,100,90,2+1,1,Kombi (Doğalgaz),Kapalı,Var,Var,Açık Otopark,Hayır,Boş,Hayır,Kat Mülkiyetli,Evet,Evet,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,8,5,2,,,250,2,5,2026,0,27700.0
https://www.sahibinden.com/ilan/emlak-konut-satilik-ekin-sitesi-nde-manzarali-masrafsiz-3-plus1-satilik-daire-1306855585/detay,satilik,2026-05-27T00:06:08.866286,"Ekin Sitesi'nde Manzaralı, Masrafsız 3+1 Satılık Daire",,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",6100000,125,110,3+1,7,Kombi (Doğalgaz),Kapalı,Var,Var,Kapalı Otopark,Hayır,Mülk Sahibi,Evet,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Ekin Sitesi,18,10,1,,,,3,5,2026,0,48800.0
https://www.sahibinden.com/ilan/emlak-konut-satilik-yakacik-ta-katta-tek-3-plus1-daire-doga-koleji-karsisi-otoparkli-1306030522/detay,satilik,2026-05-27T00:06:28.328306,"Yakacık'ta Katta Tek 3+1 Daire: Doğa Koleji Karşısı, Otoparklı!",,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",6600000,115,100,3+1,4,Kombi (Doğalgaz),Kapalı,Yok,Var,Açık Otopark,Hayır,Boş,Hayır,Kat Mülkiyetli,Evet,Hayır,Satılık Daire,Belirtilmemiş,Emlak Ofisinden,Belirtilmemiş,13,5,1,,,,3,5,2026,0,57391.30434782609
"https://www.sahibinden.com/ilan/emlak-konut-satilik-beylikduzu-nde-luks,kalite,huzur-burda-iskanli-sifir-3-plus1-1315325231/detay",satilik,2026-05-27T00:06:47.919329,"BEYLİKDÜZÜ'NDE LÜKS,KALİTE,HUZUR BURDA!! İSKANLI SIFIR 3+1",Beylikdüzü,,"Favori Aramalarım, Size Özel İlanlar, Karşılaştır, Favori Aramalarım'a Git, Vazgeç, Karşılaştır, Tüm ilanları, Favori Satıcılarıma ekle, Dolu, Boş, Yatay, Dikey",6100000,140,135,3+1,2,Kombi (Doğalgaz),Kapalı,Var,Var,Açık & Kapalı Otopark,Hayır,Boş,Evet,Kat Mülkiyetli,Evet,Evet,Satılık Daire,A,Emlak Ofisinden,Belirtilmemiş,0,4,2,,,,3,5,2026,0,43571.42857142857
