listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at,sub_district
4245-10911,satilik,Adalar,Kınalıada,14750000,102,85,144607.8431372549,2,1,3,NA,Mid Floor,3,47,NA,NA,Combi Boiler,NA,1,NA,NA,FALSE,NA,NA,NA,Eligible,Condominium Title,NA,2026-03-11,2026-03-14T20:41:02Z,Kınalıada
39631-917,satilik,Adalar,Nizam,23000000,200,185,115000,4,1,5,NA,Top Floor,3,30,Reinforced Concrete,Second-hand,Combi Boiler,NA,2,NA,Vacant,FALSE,NA,NA,NA,Eligible,Condominium Title,No,2026-03-12,2026-03-14T20:41:09Z,Nizam
54895-1158,satilik,Adalar,Nizam,22000000,220,180,100000,3,2,5,3,NA,3,36,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Unfurnished,Vacant,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-03-13,2026-03-14T20:41:19Z,Nizam
25051-1018,satilik,Adalar,Heybeliada,7900000,130,103,60769.230769230766,3,1,4,-1,Garden Floor,3,30,Wooden,Second-hand,Combi Boiler,Natural Gas,1,Furnished,Vacant,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-03-09,2026-03-14T20:41:26Z,Heybeliada
96953-291,satilik,Adalar,Maden,9500000,85,75,111764.70588235294,2,1,3,-1,Garden Floor,3,27,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Tenant-occupied,FALSE,NA,NA,"North, South, East",Eligible,Condominium Title,No,2026-02-21,2026-03-14T20:41:34Z,Maden
142268-143,satilik,Adalar,Maden,8500000,90,80,94444.44444444444,2,1,3,-1,Garden Floor,3,30,NA,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,"North, South, East, West",Not Eligible,Construction Easement,No,2026-03-11,2026-03-14T20:41:42Z,Maden
54895-1144,satilik,Adalar,Nizam,12000000,117,101,102564.10256410256,14,1,15,-1,Garden Floor,4,49,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Unfurnished,Vacant,TRUE,NA,NA,"North, South, West",Eligible,Condominium Title,No,2026-03-13,2026-03-14T20:41:51Z,Nizam
1791-1731,satilik,Adalar,Burgazada,13950000,120,100,116250,2,1,3,3,NA,3,20,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Tenant-occupied,FALSE,NA,NA,East,Eligible,Condominium Title,No,2026-03-07,2026-03-14T20:41:59Z,Burgazada
39631-885,satilik,Adalar,Nizam,12750000,130,120,98076.92307692308,3,1,4,NA,Mid Floor,4,35,NA,Second-hand,Combi Boiler,Natural Gas,1,Furnished,NA,FALSE,NA,NA,NA,Eligible,Condominium Title,NA,2026-03-13,2026-03-14T20:42:06Z,Nizam
82579-1065,satilik,Adalar,Nizam,14000000,120,100,116666.66666666667,3,1,4,-1,Garden Floor,3,31,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Unfurnished,Vacant,FALSE,NA,NA,"North, East, West",Eligible,Condominium Title,No,2026-03-03,2026-03-14T20:42:14Z,Nizam
54895-1074,satilik,Adalar,Maden,10900000,121,95,90082.64462809918,3,1,4,3,NA,3,37,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Unfurnished,Vacant,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-03-13,2026-03-14T20:42:23Z,Maden
48848-282,satilik,Adalar,Burgazada,14200000,120,105,118333.33333333333,3,1,4,1,NA,4,25,Reinforced Concrete,Second-hand,Not Specified,Natural Gas,1,Furnished,Vacant,FALSE,NA,NA,South,Eligible,Condominium Title,No,2026-02-17,2026-03-14T20:42:31Z,Burgazada
142268-11,satilik,Adalar,Maden,13850000,130,120,106538.46153846153,3,1,4,NA,Mid Floor,3,25,Masonry,Second-hand,Combi Boiler,Natural Gas,1,Furnished,Vacant,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-02-17,2026-03-14T20:42:39Z,Maden
39631-722,satilik,Adalar,Nizam,35700000,250,220,142800,3,1,4,-2,Sub-level 2,2,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Furnished,Owner-occupied,FALSE,NA,NA,West,Eligible,Condominium Title,No,2026-03-10,2026-03-14T20:42:47Z,Nizam
39631-927,satilik,Adalar,Maden,11000000,100,84,110000,2,1,3,NA,Top Floor,2,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,NA,Eligible,Condominium Title,No,2026-03-12,2026-03-14T20:42:53Z,Maden
122463-2211,satilik,Adalar,Nizam,9250000,95,75,97368.42105263157,2,1,3,-1,Garden Floor,3,26,NA,NA,Combi Boiler,NA,1,Unfurnished,Vacant,FALSE,NA,NA,"South, East",Eligible,Condominium Title,No,2026-02-10,2026-03-14T20:43:02Z,Nizam
2845-4352,satilik,Adalar,Kınalıada,8500000,100,90,85000,3,1,4,3,NA,4,40,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Tenant-occupied,FALSE,NA,NA,"North, East",Eligible,Condominium Title,No,2026-02-21,2026-03-14T20:43:09Z,Kınalıada
42477-528,satilik,Adalar,Burgazada,11000000,85,75,129411.76470588235,2,1,3,0,Raised Ground,3,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,"North, East",Eligible,Condominium Title,No,2026-02-23,2026-03-14T20:43:17Z,Burgazada
42477-496,satilik,Adalar,Burgazada,12600000,130,125,96923.07692307692,3,1,4,-1,Garden Floor,3,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,"South, East",Eligible,Condominium Title,No,2026-02-12,2026-03-14T20:43:26Z,Burgazada
4387-1717,satilik,Adalar,Nizam,20000000,130,120,153846.15384615384,3,1,4,NA,Mid Floor,3,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Furnished,Vacant,FALSE,NA,NA,"East, West",Eligible,Condominium Title,No,2026-02-11,2026-03-14T20:43:33Z,Nizam
82579-997,satilik,Adalar,Nizam,19000000,235,200,80851.06382978724,6,1,7,NA,Top Floor,3,32,Reinforced Concrete,Second-hand,No Heating,NA,4,Unfurnished,Vacant,TRUE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-02-25,2026-03-14T20:43:44Z,Nizam
58394-1338,satilik,Adalar,Heybeliada,10000000,105,88,95238.09523809524,3,1,4,3,NA,3,31,NA,NA,Combi Boiler,NA,1,Unfurnished,Vacant,FALSE,NA,NA,"East, West",Eligible,Condominium Title,No,2026-02-07,2026-03-14T20:43:52Z,Heybeliada
42477-325,satilik,Adalar,Burgazada,17200000,150,130,114666.66666666667,3,1,4,2,NA,4,30,Reinforced Concrete,Second-hand,Not Specified,Electricity,1,Unfurnished,Vacant,FALSE,NA,150,"North, East",Eligible,Condominium Title,No,2026-02-12,2026-03-14T20:43:59Z,Burgazada
142268-24,satilik,Adalar,Maden,22950000,150,140,153000,3,1,4,1,NA,2,40,Brick,Second-hand,Combi Boiler,Natural Gas,2,Furnished,Tenant-occupied,FALSE,NA,750,"North, South, East, West",Eligible,Condominium Title,No,2026-02-17,2026-03-14T20:44:07Z,Maden
54895-1164,satilik,Adalar,Nizam,13000000,100,44,130000,2,1,3,NA,Terrace Floor,4,50,Reinforced Concrete,Second-hand,No Heating,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-03-07,2026-03-14T20:44:16Z,Nizam
48848-283,satilik,Adalar,Burgazada,10000000,65,60,153846.15384615384,2,1,3,NA,Penthouse,3,203,Reinforced Concrete,NA,Not Specified,Natural Gas,1,Furnished,NA,FALSE,NA,NA,NA,Eligible,Condominium Title,No,2026-02-14,2026-03-14T20:44:24Z,Burgazada
153525-53,satilik,Adalar,Maden,9500000,80,75,118750,2,1,3,-1,Garden Floor,3,31,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Unfurnished,Tenant-occupied,FALSE,NA,NA,NA,Eligible,Condominium Title,No,2026-02-18,2026-03-14T20:44:32Z,Maden
25051-1014,satilik,Adalar,Nizam,20000000,160,135,125000,5,1,6,-1,Garden Floor,4,30,Wooden,Second-hand,Combi Boiler,NA,2,Unfurnished,Vacant,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-03-06,2026-03-14T20:44:40Z,Nizam
42477-553,satilik,Adalar,Burgazada,15000000,90,80,166666.66666666666,3,1,4,2,NA,3,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Furnished,Vacant,FALSE,NA,NA,East,Eligible,Condominium Title,No,2026-02-16,2026-03-14T20:44:49Z,Burgazada
54895-1149,satilik,Adalar,Nizam,15500000,143,126,108391.60839160839,5,1,6,3,NA,3,38,Reinforced Concrete,Second-hand,Air Conditioning,Natural Gas,3,Unfurnished,Vacant,FALSE,NA,7500,"North, South, East, West",Eligible,Condominium Title,No,2026-03-05,2026-03-14T20:44:58Z,Nizam
4387-1722,satilik,Adalar,Nizam,13500000,160,90,84375,2,1,3,NA,Top Floor,3,35,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Furnished,Vacant,FALSE,NA,NA,"North, South, East, West",Eligible,Condominium Title,No,2026-02-05,2026-03-14T20:45:08Z,Nizam
134003-113,satilik,Adalar,Nizam,11500000,90,80,127777.77777777778,2,1,3,0,Ground Floor,3,35,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Furnished,Vacant,FALSE,NA,NA,East,Eligible,Condominium Title,No,2026-02-13,2026-03-14T20:45:15Z,Nizam
113382-253,satilik,Adalar,Maden,17500000,200,180,87500,6,2,8,3,NA,4,26,NA,NA,Combi Boiler,NA,2,NA,NA,FALSE,NA,NA,NA,Eligible,Construction Easement,NA,2026-03-06,2026-03-14T20:45:23Z,Maden
42477-426,satilik,Adalar,Burgazada,19000000,140,120,135714.2857142857,3,1,4,2,NA,3,40,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1,Furnished,Owner-occupied,FALSE,NA,NA,"South, East",Eligible,Condominium Title,No,2026-02-12,2026-03-14T20:45:31Z,Burgazada
25051-1013,satilik,Adalar,Maden,14100000,135,121,104444.44444444444,3,1,4,1,NA,4,30,Wooden,Second-hand,Not Specified,Natural Gas,1,Unfurnished,Vacant,FALSE,NA,NA,"North, South, East",Eligible,Condominium Title,No,2026-03-06,2026-03-14T20:45:38Z,Maden
42477-398,satilik,Adalar,Burgazada,9500000,130,95,73076.92307692308,2,1,3,0,Entrance Floor,3,30,Reinforced Concrete,Second-hand,Stove,Electricity,2,Unfurnished,Vacant,FALSE,NA,NA,"North, South, East",Eligible,Condominium Title,No,2026-02-28,2026-03-14T20:45:46Z,Burgazada
54895-1141,satilik,Adalar,Nizam,19500000,161,116,121118.01242236025,3,1,4,0,Ground Floor,4,56,Reinforced Concrete,New,Combi Boiler,Natural Gas,1,Furnished,Vacant,FALSE,NA,NA,"North, West",Eligible,Condominium Title,No,2026-03-05,2026-03-14T20:45:53Z,Nizam
58394-1450,satilik,Adalar,Heybeliada,11500000,65,56,176923.07692307694,2,1,3,NA,Top Floor,4,32,Masonry,Second-hand,No Heating,NA,1,Unfurnished,Vacant,FALSE,NA,NA,"North, South, West",Eligible,Condominium Title,No,2026-02-11,2026-03-14T20:46:01Z,Heybeliada
39631-535,satilik,Adalar,Nizam,16500000,200,185,82500,5,1,6,NA,Top Floor,3,25,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2,Furnished,Vacant,FALSE,NA,NA,NA,Eligible,Condominium Title,NA,2026-02-14,2026-03-14T20:46:09Z,Nizam
