listing_id,listing_type,district,neighbourhood,price,GrossSquareMeters,NetSquareMeters,price_per_m2,rooms,halls,total_rooms,floor,floor_category,total_floors,building_age,building_type,building_condition,heating_type,fuel_type,bathroom_count,furnished,usage_status,is_in_complex,complex_name,maintenance_fee,orientation,credit_eligible,deed_status,exchange,last_updated,scraped_at
146350-26,satilik,Bahçelievler,Kocasinan Merkez,5050000,140.0,128.0,36071.42857142857,4,1,5,1.0,,4.0,28,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,,Unfurnished,Vacant,False,,100.0,"North, South, West",Not Eligible,Land Title,No,2026-02-13,2026-03-15 05:17:42
82957-7211,satilik,Bahçelievler,Yenibosna Merkez,11000000,157.0,138.0,70063.69426751592,3,1,4,7.0,,16.0,6,,,Central (Metered),,2.0,Unfurnished,Vacant,True,İstwest,,"North, East",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:17:49
166199-7,satilik,Bahçelievler,Zafer,6250000,95.0,90.0,65789.47368421052,2,1,3,5.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,South,Eligible,Condominium Title,No,2026-02-05,2026-03-15 05:17:57
166342-31,satilik,Bahçelievler,Çobançeşme,6000000,75.0,70.0,80000.0,2,1,3,3.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,500.0,South,Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:18:05
74231-993,satilik,Bahçelievler,Soğanlı,6650000,170.0,150.0,39117.64705882353,4,1,5,4.0,,6.0,10,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Owner-occupied,False,,,"South, East",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:18:12
111551-2058,satilik,Bahçelievler,Siyavuşpaşa,6100000,85.0,77.0,71764.70588235294,2,1,3,1.0,,4.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,South,Eligible,Construction Easement,No,2026-02-13,2026-03-15 05:18:20
60890-933,satilik,Bahçelievler,Soğanlı,3600000,120.0,110.0,30000.0,3,1,4,2.0,,5.0,26,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,,,Not Eligible,Land Title,No,2026-02-14,2026-03-15 05:18:28
166418-1,satilik,Bahçelievler,Şirinevler,3650000,192.0,150.0,19010.416666666668,3,1,4,7.0,,7.0,26,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,,"North, South, West",Not Eligible,Shared Title,No,2026-02-25,2026-03-15 05:18:36
165982-3,satilik,Bahçelievler,Hürriyet,3000000,100.0,90.0,30000.0,2,1,3,2.0,,5.0,26,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,,"North, West",Eligible,Construction Easement,No,2026-01-31,2026-03-15 05:18:48
165881-18,satilik,Bahçelievler,Soğanlı,2500000,80.0,70.0,31250.0,2,1,3,0.0,Entrance Floor,5.0,30,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Owner-occupied,False,,,East,Eligible,Construction Easement,No,2026-02-13,2026-03-15 05:18:55
165674-9,satilik,Bahçelievler,Kocasinan Merkez,3550000,85.0,70.0,41764.705882352944,2,1,3,0.0,Entrance Floor,5.0,21,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,,"North, South",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:19:03
30863-10065,satilik,Bahçelievler,Bahçelievler,12750000,130.0,120.0,98076.92307692308,3,1,4,0.0,Entrance Floor,5.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,"North, South",Eligible,Construction Easement,No,2026-02-27,2026-03-15 05:19:12
81475-6751,satilik,Bahçelievler,Bahçelievler,9000000,73.0,50.0,123287.67123287672,2,1,3,-1.0,Garden Floor,4.0,2,,,Underfloor Heating,,1.0,Unfurnished,Vacant,False,,,"North, South, East, West",Eligible,Condominium Title,No,2026-02-12,2026-03-15 05:19:20
81705-11513,satilik,Bahçelievler,Çobançeşme,3250000,115.0,90.0,28260.869565217392,3,1,4,0.0,Raised Ground,4.0,16,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,,"North, South",Eligible,Construction Easement,No,2026-01-31,2026-03-15 05:19:29
165787-16,satilik,Bahçelievler,Siyavuşpaşa,7900000,100.0,88.0,79000.0,3,1,4,6.0,,6.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,South,Eligible,Construction Easement,No,2026-02-13,2026-03-15 05:19:38
161060-3,satilik,Bahçelievler,Şirinevler,8770000,165.0,140.0,53151.51515151515,3,1,4,5.0,,5.0,16,,,Combi Boiler,,2.0,Unfurnished,Owner-occupied,False,,,"South, East",Eligible,Condominium Title,Yes,2026-02-10,2026-03-15 05:19:46
43272-3959,satilik,Bahçelievler,Şirinevler,7650000,115.0,95.0,66521.73913043478,3,1,4,2.0,,9.0,0,,,Combi Boiler,,2.0,Unfurnished,Vacant,True,,,"North, East, West",Eligible,Construction Easement,No,2026-03-15,2026-03-15 05:19:55
125563-2299,satilik,Bahçelievler,Kocasinan Merkez,8500000,130.0,105.0,65384.61538461538,2,1,3,1.0,,5.0,6,Reinforced Concrete,,Central,Natural Gas,2.0,Unfurnished,Tenant-occupied,True,Quadrom Palas Sitesi,,South,Not Eligible,Construction Easement,Yes,2026-02-13,2026-03-15 05:20:04
166170-20,satilik,Bahçelievler,Çobançeşme,2630000,85.0,80.0,30941.176470588234,2,1,3,4.0,,5.0,26,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,100.0,South,Not Eligible,Land Title,No,2026-02-17,2026-03-15 05:20:13
27522-2419,satilik,Bahçelievler,Çobançeşme,6000000,70.0,60.0,85714.28571428571,2,1,3,2.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,400.0,"South, East, West",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:20:22
86191-219,satilik,Bahçelievler,Kocasinan Merkez,4850000,70.0,60.0,69285.71428571429,2,1,3,1.0,,4.0,6,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,100.0,South,Not Eligible,Condominium Title,No,2026-02-20,2026-03-15 05:20:30
36122-1890,satilik,Bahçelievler,Siyavuşpaşa,5500000,100.0,90.0,55000.0,2,1,3,0.0,Raised Ground,5.0,6,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,250.0,"North, South",Eligible,Condominium Title,No,2026-02-04,2026-03-15 05:20:39
146429-100,satilik,Bahçelievler,Bahçelievler,12750000,165.0,150.0,77272.72727272728,3,1,4,4.0,,4.0,31,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,,Eligible,Condominium Title,Yes,2026-03-10,2026-03-15 05:20:47
25299-9801,satilik,Bahçelievler,Zafer,10500000,220.0,210.0,47727.27272727273,5,2,7,4.0,,4.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,2.0,Unfurnished,Vacant,False,,,South,Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:20:56
1114-5490,satilik,Bahçelievler,Bahçelievler,19500000,180.0,167.0,108333.33333333333,3,2,5,4.0,,4.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,3.0,Unfurnished,Vacant,False,,,"South, East",Eligible,Construction Easement,Yes,2026-02-13,2026-03-15 05:21:05
33575-1940,satilik,Bahçelievler,Bahçelievler,16000000,120.0,110.0,133333.33333333334,3,1,4,2.0,,4.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,South,Eligible,Construction Easement,No,2026-02-11,2026-03-15 05:21:12
165279-29,satilik,Bahçelievler,Bahçelievler,54999000,228.0,142.0,241223.68421052632,4,1,5,8.0,,12.0,1,,,Combi Boiler,,2.0,,,True,Rams Garden Sitesi,,,Eligible,Condominium Title,,2026-02-13,2026-03-15 05:21:20
165666-12,satilik,Bahçelievler,Soğanlı,4000000,170.0,140.0,23529.41176470588,5,1,6,0.0,Entrance Floor,5.0,16,,,Combi Boiler,,2.0,Unfurnished,Tenant-occupied,False,,,,Eligible,Construction Easement,No,2026-02-08,2026-03-15 05:21:28
146350-10,satilik,Bahçelievler,Kocasinan Merkez,6250000,162.0,124.0,38580.246913580246,4,1,5,0.0,Raised Ground,4.0,17,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Tenant-occupied,False,,200.0,"South, East, West",Eligible,Construction Easement,No,2026-03-14,2026-03-15 05:21:37
91887-4692,satilik,Bahçelievler,Şirinevler,9800000,220.0,200.0,44545.454545454544,5,1,6,5.0,,5.0,6,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,,,Eligible,Condominium Title,No,2026-03-13,2026-03-15 05:21:45
1006-19464,satilik,Bahçelievler,Şirinevler,4900000,140.0,110.0,35000.0,3,1,4,3.0,,5.0,31,,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,,Not Eligible,Condominium Title,No,2026-02-14,2026-03-15 05:21:53
1668-14095,satilik,Bahçelievler,Hürriyet,7450000,100.0,85.0,74500.0,3,1,4,3.0,,5.0,0,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,,South,Eligible,Construction Easement,No,2026-02-13,2026-03-15 05:22:01
165982-2,satilik,Bahçelievler,Zafer,3400000,55.0,45.0,61818.181818181816,1,1,2,-1.0,Garden Floor,5.0,5,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,,"North, South, East, West",Eligible,Construction Easement,No,2026-01-31,2026-03-15 05:22:10
165881-13,satilik,Bahçelievler,Hürriyet,7500000,160.0,140.0,46875.0,4,1,5,5.0,,4.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,2.0,Unfurnished,Vacant,False,,,East,Eligible,Condominium Title,Yes,2026-02-12,2026-03-15 05:22:17
60890-922,satilik,Bahçelievler,Şirinevler,8250000,135.0,130.0,61111.11111111111,3,1,4,3.0,,6.0,0,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,,South,Eligible,Condominium Title,No,2026-02-07,2026-03-15 05:22:25
165674-7,satilik,Bahçelievler,Soğanlı,7300000,140.0,125.0,52142.857142857145,3,1,4,2.0,,5.0,11,,,Combi Boiler,,2.0,Unfurnished,Owner-occupied,False,,,"North, South",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:22:33
81475-6750,satilik,Bahçelievler,Siyavuşpaşa,9750000,115.0,100.0,84782.60869565218,3,1,4,3.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,"North, South, East, West",Eligible,Construction Easement,No,2026-03-07,2026-03-15 05:22:41
165787-15,satilik,Bahçelievler,Siyavuşpaşa,4950000,100.0,85.0,49500.0,3,1,4,-1.0,Garden Floor,5.0,3,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,"South, West",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:22:49
81705-11509,satilik,Bahçelievler,Yenibosna Merkez,4950000,85.0,70.0,58235.294117647056,2,1,3,2.0,,4.0,11,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,,"North, South",Eligible,Construction Easement,No,2026-01-31,2026-03-15 05:22:57
30863-10030,satilik,Bahçelievler,Kocasinan Merkez,3550000,130.0,120.0,27307.69230769231,2,1,3,3.0,,3.0,17,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,"North, South",Eligible,Condominium Title,No,2026-02-11,2026-03-15 05:23:07
43272-3956,satilik,Bahçelievler,Şirinevler,9000000,144.0,115.0,62500.0,3,1,4,8.0,,10.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,True,,,"South, East, West",Eligible,Construction Easement,No,2026-03-15,2026-03-15 05:23:15
166342-40,satilik,Bahçelievler,Çobançeşme,5500000,75.0,65.0,73333.33333333333,2,1,3,3.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,500.0,South,Eligible,Condominium Title,No,2026-02-14,2026-03-15 05:23:23
166199-11,satilik,Bahçelievler,Hürriyet,5800000,90.0,80.0,64444.444444444445,2,1,3,3.0,,6.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,South,Eligible,Condominium Title,No,2026-02-06,2026-03-15 05:23:31
4638-2890,satilik,Bahçelievler,Soğanlı,6000000,80.0,75.0,75000.0,2,1,3,0.0,Raised Ground,7.0,0,Reinforced Concrete,Under Construction,Underfloor Heating,Natural Gas,1.0,Unfurnished,Vacant,False,,,West,Eligible,Land Title,No,2026-02-06,2026-03-15 05:23:38
116344-4,satilik,Bahçelievler,Siyavuşpaşa,2900000,70.0,61.0,41428.57142857143,1,1,2,0.0,Raised Ground,5.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,100.0,East,Eligible,Condominium Title,No,2026-02-06,2026-03-15 05:23:48
111551-2112,satilik,Bahçelievler,Siyavuşpaşa,4300000,70.0,60.0,61428.57142857143,1,1,2,0.0,Raised Ground,4.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,,False,,,South,Eligible,Construction Easement,No,2026-02-13,2026-03-15 05:23:56
6056-13974,satilik,Bahçelievler,Siyavuşpaşa,8250000,85.0,75.0,97058.82352941176,2,1,3,4.0,,5.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,South,Eligible,Condominium Title,No,2026-02-27,2026-03-15 05:24:04
151320-249,satilik,Bahçelievler,Bahçelievler,17500000,120.0,110.0,145833.33333333334,3,1,4,3.0,,4.0,6,,,Combi Boiler,,2.0,Unfurnished,Owner-occupied,True,Erguvan Konakları,,"South, West",Eligible,Condominium Title,No,2026-03-02,2026-03-15 05:24:12
25299-9789,satilik,Bahçelievler,Kocasinan Merkez,4550000,85.0,80.0,53529.41176470588,2,1,3,4.0,,5.0,17,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Owner-occupied,False,,,South,Eligible,Construction Easement,No,2026-02-13,2026-03-15 05:24:22
1114-5461,satilik,Bahçelievler,Bahçelievler,30000000,250.0,220.0,120000.0,4,2,6,4.0,,4.0,0,Reinforced Concrete,New,Underfloor Heating,Natural Gas,4.0,Unfurnished,Vacant,False,,,"South, East",Eligible,Construction Easement,No,2026-02-02,2026-03-15 05:24:30
77943-4635,satilik,Bahçelievler,Hürriyet,5150000,85.0,75.0,60588.23529411765,2,1,3,1.0,,10.0,1,,Second-hand,Central (Metered),Natural Gas,1.0,Unfurnished,Tenant-occupied,True,,,,Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:24:38
166170-36,satilik,Bahçelievler,Çobançeşme,3350000,73.0,64.0,45890.41095890411,2,1,3,0.0,Raised Ground,4.0,11,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,,,Eligible,Construction Easement,No,2026-02-27,2026-03-15 05:24:45
152242-26,satilik,Bahçelievler,Kocasinan Merkez,7750000,145.0,120.0,53448.275862068964,4,2,6,4.0,,5.0,16,,,Combi Boiler,,2.0,Unfurnished,Owner-occupied,False,,,,Eligible,Construction Easement,No,2026-02-10,2026-03-15 05:24:54
165279-28,satilik,Bahçelievler,Bahçelievler,34999000,143.0,94.0,244748.25174825176,2,1,3,8.0,,12.0,1,,,Combi Boiler,,2.0,,,True,Rams Garden Sitesi,,,Eligible,Condominium Title,,2026-02-13,2026-03-15 05:25:01
165666-11,satilik,Bahçelievler,Soğanlı,6500000,85.0,75.0,76470.58823529411,2,1,3,2.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,,Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:25:10
165494-7,satilik,Bahçelievler,Bahçelievler,7500000,75.0,65.0,100000.0,2,1,3,-1.0,Garden Floor,5.0,5,,,Combi Boiler,,1.0,,Tenant-occupied,False,,,,Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:25:17
111213-904,satilik,Bahçelievler,Kocasinan Merkez,6500000,113.0,103.0,57522.12389380531,3,1,4,5.0,,6.0,4,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,South,Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:25:25
159472-60,satilik,Bahçelievler,Soğanlı,6100000,85.0,80.0,71764.70588235294,2,1,3,1.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,"North, South",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:25:32
27522-2412,satilik,Bahçelievler,Hürriyet,5700000,100.0,87.0,57000.0,4,1,5,5.0,,5.0,6,,,Combi Boiler,,2.0,Unfurnished,Owner-occupied,False,,400.0,"North, South, East, West",Eligible,Condominium Title,No,2026-02-11,2026-03-15 05:25:41
36122-1898,satilik,Bahçelievler,Çobançeşme,6700000,100.0,90.0,67000.0,2,1,3,2.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,"North, South",Eligible,Condominium Title,No,2026-02-06,2026-03-15 05:25:48
165889-15,satilik,Bahçelievler,Bahçelievler,11000000,125.0,105.0,88000.0,3,1,4,1.0,,5.0,0,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,,"North, South",Eligible,Construction Easement,No,2026-03-11,2026-03-15 05:25:57
165881-12,satilik,Bahçelievler,Soğanlı,2800000,80.0,75.0,35000.0,2,0,2,,Mid Floor,5.0,31,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Owner-occupied,False,,,East,Not Eligible,Shared Title,No,2026-02-13,2026-03-15 05:26:04
165674-6,satilik,Bahçelievler,Soğanlı,5500000,100.0,85.0,55000.0,3,1,4,0.0,Raised Ground,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,"North, South, East",Not Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:26:13
60890-917,satilik,Bahçelievler,Soğanlı,8000000,135.0,130.0,59259.25925925926,3,1,4,3.0,,4.0,11,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,400.0,South,Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:26:21
81475-6749,satilik,Bahçelievler,Bahçelievler,22500000,214.0,170.0,105140.18691588785,3,2,5,4.0,,4.0,2,,,Underfloor Heating,,3.0,Unfurnished,Vacant,False,,,"North, South, East, West",Eligible,Condominium Title,No,2026-02-12,2026-03-15 05:26:29
165787-11,satilik,Bahçelievler,Bahçelievler,16500000,125.0,105.0,132000.0,3,1,4,1.0,,4.0,0,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,,"North, West",Eligible,Construction Easement,No,2026-02-13,2026-03-15 05:26:36
81705-11505,satilik,Bahçelievler,Zafer,5750000,95.0,80.0,60526.31578947369,2,1,3,4.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,"North, South",Eligible,Condominium Title,No,2026-01-31,2026-03-15 05:26:44
30863-10024,satilik,Bahçelievler,Siyavuşpaşa,13500000,245.0,225.0,55102.04081632653,4,1,5,1.0,,5.0,25,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Owner-occupied,False,,,"North, South",Eligible,Condominium Title,No,2026-02-08,2026-03-15 05:26:53
43272-3861,satilik,Bahçelievler,Kocasinan Merkez,10250000,125.0,110.0,82000.0,3,1,4,10.0,,10.0,0,,,Combi Boiler,,2.0,Unfurnished,Vacant,True,,,"South, East, West",Eligible,Condominium Title,No,2026-03-15,2026-03-15 05:27:02
70388-5250,satilik,Bahçelievler,Şirinevler,10500000,144.0,100.0,72916.66666666667,3,1,4,2.0,,9.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,South,Eligible,Condominium Title,No,2026-03-04,2026-03-15 05:27:09
166342-35,satilik,Bahçelievler,Zafer,4650000,75.0,65.0,62000.0,2,1,3,0.0,Raised Ground,4.0,4,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,500.0,South,Eligible,Condominium Title,No,2026-02-16,2026-03-15 05:27:18
4638-2888,satilik,Bahçelievler,Soğanlı,8500000,100.0,95.0,85000.0,3,1,4,,Mid Floor,7.0,0,Reinforced Concrete,Under Construction,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,West,Eligible,Land Title,No,2026-02-06,2026-03-15 05:27:25
6056-13944,satilik,Bahçelievler,Siyavuşpaşa,8200000,100.0,80.0,82000.0,3,1,4,2.0,,5.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,"North, South",Eligible,Construction Easement,No,2026-03-04,2026-03-15 05:27:33
18533-1280,satilik,Bahçelievler,Siyavuşpaşa,6000000,150.0,145.0,40000.0,3,1,4,4.0,,5.0,31,,,Combi Boiler,,2.0,Unfurnished,Owner-occupied,False,,340.0,South,Eligible,Construction Easement,No,2026-02-17,2026-03-15 05:27:43
165982-6,satilik,Bahçelievler,Şirinevler,7000000,100.0,89.0,70000.0,2,1,3,4.0,,6.0,0,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,500.0,"North, West",Eligible,Condominium Title,No,2026-01-31,2026-03-15 05:27:51
151891-450,satilik,Bahçelievler,Çobançeşme,19000000,89.0,80.0,213483.14606741574,2,1,3,3.0,,5.0,0,,,Underfloor Heating,,1.0,Unfurnished,Vacant,False,,,West,Eligible,Condominium Title,No,2026-03-02,2026-03-15 05:28:00
162792-5,satilik,Bahçelievler,Bahçelievler,43950000,340.0,290.0,129264.70588235294,4,1,5,1.0,,4.0,21,,,Combi Boiler,,3.0,Unfurnished,Vacant,True,Ömür Sitesi,,"North, South, East, West",Eligible,Construction Easement,No,2026-02-13,2026-03-15 05:28:08
103274-1480,satilik,Bahçelievler,Hürriyet,5650000,125.0,100.0,45200.0,3,1,4,1.0,,5.0,20,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,2.0,Unfurnished,Owner-occupied,False,,,North,Eligible,Construction Easement,No,2026-02-14,2026-03-15 05:28:16
25299-9779,satilik,Bahçelievler,Çobançeşme,8450000,110.0,105.0,76818.18181818182,2,1,3,7.0,,8.0,1,Reinforced Concrete,Second-hand,Central (Metered),Natural Gas,2.0,Unfurnished,Vacant,True,,,South,Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:28:34
1114-5453,satilik,Bahçelievler,Bahçelievler,22500000,250.0,220.0,90000.0,7,2,9,4.0,,4.0,6,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,3.0,Unfurnished,Vacant,False,,,"South, East",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:28:45
0-43142662,satilik,Bahçelievler,Bahçelievler,10900000,135.0,130.0,80740.74074074074,3,1,4,,Mid Floor,5.0,40,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Owner-occupied,False,,500.0,South,Eligible,Condominium Title,No,2026-01-09,2026-03-15 05:29:00
21218-4876,satilik,Bahçelievler,Siyavuşpaşa,4450000,60.0,55.0,74166.66666666667,2,1,3,-1.0,Garden Floor,5.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,,Eligible,Condominium Title,,2026-02-13,2026-03-15 05:29:10
166199-21,satilik,Bahçelievler,Zafer,3500000,65.0,60.0,53846.153846153844,1,1,2,0.0,Entrance Floor,5.0,2,,,Combi Boiler,,1.0,Furnished,Vacant,False,,,South,Eligible,Condominium Title,No,2026-02-27,2026-03-15 05:29:18
150567-6,satilik,Bahçelievler,Zafer,4700000,95.0,90.0,49473.68421052631,2,1,3,3.0,,4.0,11,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,,"North, East, West",Eligible,Condominium Title,No,2026-02-24,2026-03-15 05:29:28
33163-1475,satilik,Bahçelievler,Siyavuşpaşa,7400000,85.0,80.0,87058.82352941176,2,1,3,3.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,"South, East",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:29:36
96848-2998,satilik,Bahçelievler,Siyavuşpaşa,3550000,95.0,90.0,37368.42105263158,2,1,3,5.0,,5.0,37,Reinforced Concrete,Second-hand,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,South,Eligible,Foreign Owner,No,2026-03-06,2026-03-15 05:29:44
27029-207,satilik,Bahçelievler,Zafer,8200000,120.0,110.0,68333.33333333333,3,1,4,3.0,,6.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Vacant,False,,,,Eligible,Condominium Title,,2026-02-12,2026-03-15 05:29:52
128533-10,satilik,Bahçelievler,Fevzi Çakmak,3250000,80.0,65.0,40625.0,2,1,3,1.0,,4.0,31,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,200.0,,Not Eligible,Land Title,No,2026-02-12,2026-03-15 05:30:01
152242-24,satilik,Bahçelievler,Kocasinan Merkez,4750000,105.0,85.0,45238.09523809524,3,1,4,0.0,Raised Ground,5.0,16,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,,,Eligible,Construction Easement,No,2026-02-10,2026-03-15 05:30:10
165666-9,satilik,Bahçelievler,Cumhuriyet,5200000,110.0,100.0,47272.72727272727,2,1,3,5.0,,5.0,16,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,,Eligible,Construction Easement,No,2026-02-04,2026-03-15 05:30:19
164432-19,satilik,Bahçelievler,Zafer,8300000,120.0,105.0,69166.66666666667,3,1,4,3.0,,6.0,0,,,Combi Boiler,,1.0,Unfurnished,Vacant,False,,,,Not Eligible,Construction Easement,No,2026-02-19,2026-03-15 05:30:28
36122-1907,satilik,Bahçelievler,Kocasinan Merkez,1995000,75.0,65.0,26600.0,1,1,2,-1.0,Garden Floor,5.0,6,,,Combi Boiler,,1.0,Unfurnished,Tenant-occupied,False,,,"North, South",Eligible,Condominium Title,No,2026-02-10,2026-03-15 05:30:36
27522-2420,satilik,Bahçelievler,Çobançeşme,5500000,70.0,65.0,78571.42857142857,2,1,3,2.0,,5.0,0,,,Combi Boiler,,1.0,Unfurnished,Owner-occupied,False,,350.0,"North, South, East, West",Eligible,Condominium Title,No,2026-02-13,2026-03-15 05:30:45
44018-3167,satilik,Bahçelievler,Bahçelievler,32000000,170.0,155.0,188235.29411764705,3,1,4,4.0,,4.0,10,Reinforced Concrete,New,Combi Boiler,Natural Gas,1.0,Unfurnished,Owner-occupied,False,,,"East, West",Eligible,Condominium Title,No,2026-02-07,2026-03-15 05:30:53
165674-5,satilik,Bahçelievler,Bahçelievler,13000000,120.0,110.0,108333.33333333333,3,1,4,0.0,Entrance Floor,4.0,0,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,,"North, South",Eligible,Condominium Title,No,2026-02-05,2026-03-15 05:31:03
60890-742,satilik,Bahçelievler,Soğanlı,8250000,135.0,130.0,61111.11111111111,3,1,4,6.0,,6.0,0,Reinforced Concrete,New,Combi Boiler,Natural Gas,2.0,Unfurnished,Vacant,False,,,South,Eligible,Condominium Title,Yes,2026-02-18,2026-03-15 05:31:11
81475-6748,satilik,Bahçelievler,Bahçelievler,13250000,102.0,70.0,129901.96078431372,2,1,3,-1.0,Garden Floor,4.0,2,,,Underfloor Heating,,1.0,Unfurnished,Vacant,False,,,"North, South, East, West",Eligible,Condominium Title,No,2026-02-12,2026-03-15 05:31:20
165787-10,satilik,Bahçelievler,Siyavuşpaşa,13500000,170.0,155.0,79411.76470588235,6,1,7,5.0,,5.0,5,,,Combi Boiler,,2.0,Unfurnished,Vacant,False,,,South,Eligible,Condominium Title,Yes,2026-02-13,2026-03-15 05:31:27
