variable,n,mean,median,sd,variance,q25,q75,min,max,skewness,kurtosis
Sale price (TL),23743,9499915.237922756,6750000,7967233.214534061,63476805094774.74,4600000,11200000,1900000,51500000,2.2903736475838263,5.952741459800247
Gross area (m²),23743,123.65105504780357,110,50.48132907907355,2548.3645855897166,90,145,24,500,1.601293339681616,3.999541567862315
Net area (m²),23743,105.2404919344649,95,43.630183436558,1903.5929067077,75,125,10,480,1.6028218884774086,4.13947296848882
Price per m² (TL),23743,75990.66247866061,61986.666666666664,49848.87344018238,2484910183.2553205,43461.53846153846,91666.66666666667,7500,627272.7272727273,2.2203861208391307,7.7415240584054406
