variable,n,mean,median,sd,variance,q25,q75,min,max
Net area (m²),23,110.1304347826087,105,33.83825746081186,1145.0276679841897,90,127,50,190
Gross area (m²),23,130.6086956521739,120,42.92036932234855,1842.1581027667985,105,142.5,80,257
